                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4456,                 2.2113,                 2.6059,                0.23643,                0.25949,                0.16071,                0.05293,                 2.4482,                 2.3559,                 2.6593,              0.0018654,              0.0018654,              0.0018654
                     36,                 2.4909,                 2.2169,                 2.5685,                0.20084,                0.18513,                0.11423,                0.03824,                 2.5173,                 2.4762,                 2.7483,              0.0018614,              0.0018614,              0.0018614
                     37,                 2.4574,                 2.1221,                  2.544,                  0.242,                0.21203,                0.14873,                0.05072,                 2.4445,                 2.4388,                 2.6488,              0.0018574,              0.0018574,              0.0018574
                     38,                 2.5333,                 2.1892,                 2.5856,                0.34397,                 0.3212,                0.26163,                0.09648,                 2.3466,                 2.3986,                 2.5002,              0.0018535,              0.0018535,              0.0018535
                     39,                 2.4535,                 2.2258,                 2.5941,                0.35174,                0.34415,                0.29007,                 0.1086,                 2.3039,                 2.3502,                 2.4823,              0.0018495,              0.0018495,              0.0018495
                     40,                  2.361,                 2.1758,                 2.4861,                 0.3219,                0.32437,                0.23783,                0.08385,                 2.2952,                 2.3296,                 2.5046,              0.0018456,              0.0018456,              0.0018456
                     41,                 2.4232,                 2.1573,                 2.5067,                0.32982,                0.32911,                 0.2423,                0.08536,                 2.3072,                 2.3064,                 2.5033,              0.0018416,              0.0018416,              0.0018416
                     42,                 2.3741,                 2.1368,                 2.4292,                 0.3493,                0.31804,                0.23921,                 0.0809,                 2.3353,                 2.3447,                 2.4933,              0.0018376,              0.0018376,              0.0018376
                     43,                  2.362,                 2.1587,                 2.4476,                 0.3489,                0.31725,                0.24291,                0.08638,                 2.2988,                 2.3629,                 2.4167,              0.0018337,              0.0018337,              0.0018337
                     44,                 2.3982,                 2.1856,                 2.4851,                0.32019,                 0.3458,                0.23744,                0.08055,                 2.3309,                 2.1857,                 2.4722,              0.0018297,              0.0018297,              0.0018297
                     45,                  2.344,                 2.0502,                 2.3669,                0.31245,                0.32933,                0.23601,                 0.0823,                 2.3278,                 2.1801,                 2.4732,              0.0018258,              0.0018258,              0.0018258
                     46,                  2.323,                 2.0765,                 2.4328,                0.33773,                0.34652,                0.26128,                0.09681,                 2.2783,                 2.1623,                 2.4364,              0.0018218,              0.0018218,              0.0018218
                     47,                 2.3781,                 2.0984,                 2.4376,                0.27536,                0.32991,                0.22347,                0.08107,                 2.3012,                 2.2342,                 2.4639,              0.0018178,              0.0018178,              0.0018178
